software,software2,vendor_id,service_category_id,service_category
123 Signup,123Signup,235614,12,AMS
123Signup,123Signup,235614,12,AMS
ACGI PAGE,Association Anywhere,235619,12,AMS
AdvantageCS,AdvantageCS,235589,12,AMS
Alliance by Protech,Alliance,235590,12,AMS
Altai,Altai,235591,12,AMS
Amilia,Amilia,235617,12,AMS
Amilia.com,Amilia,235617,12,AMS
AMPAC,AMPAC,235618,12,AMS
Aptify,Aptify,235592,12,AMS
Association Online,Association Online ,235620,#N/A,
BenchPrep,BenchPrep,235621,13,LMS
Bitrix 24,Bitrix24,235622,12,AMS
Bitrix24,Bitrix24,235622,12,AMS
Blue Sky eLearn,Blue Sky eLearn,235623,13,LMS
BlueSkyeLearn,Blue Sky eLearn,235623,13,LMS
Brightspace,Brightspace,235624,13,LMS
Broad Point Engage,BroadPoint Engage,235625,12,AMS
BroadPoint Engage,BroadPoint Engage,235625,12,AMS
BroadPointEngage,BroadPoint Engage,235625,12,AMS
Cadmium,CadmiumCD,235626,14,EMS
CadmiumCD,CadmiumCD,235626,14,EMS
Classroom 24-7,Classroom 24/7,235627,13,LMS
Classroom24-7,Classroom 24/7,235627,13,LMS
ClearVantage,ClearVantage,235628,12,AMS
ClubExpress,ClubExpress,235593,12,AMS
cobalt.saas,Cobalt,235594,12,AMS
CourseStage,CourseStage,235629,13,LMS
Crowd Wisdom,Crowd Wisdom,235630,13,LMS
CrowdWisdom,Crowd Wisdom,235630,13,LMS
Cvent,Cvent,187027,14,EMS
Elevate LMS,Elevate LMS,235631,13,LMS
ElevateLMS,Elevate LMS,235631,13,LMS
Engage Core,Engage AMS,235595,12,AMS
EngageCore,Engage AMS,235595,12,AMS
Engagifii,Engagifii,235632,12,AMS
Ethos CE,EthosCE,235633,13,LMS
EthosCE,EthosCE,235633,13,LMS
Event Bank,EventBank,235634,14,EMS
EventBank,EventBank,235634,14,EMS
Event Mobi,EventMobi,235635,14,EMS
EventMobi,EventMobi,235635,14,EMS
Exware,Exware,235636,12,AMS
Fonteva,Fonteva,235597,12,AMS
Freestone by Community Brands,Freestone,235637,13,LMS
Freestone LMS,Freestone,235637,13,LMS
FreestoneLMS,Freestone,235637,13,LMS
GoMembers,GoMembers,235638,12,AMS
GoMembership,GoMembership,235639,12,AMS
GroupAhead,GroupAhead,235640,12,AMS
GrowthZone,GrowthZone,235598,12,AMS
Guild,Guild,235641,12,AMS
Higher Logic,Higher Logic,231039,#N/A,
HigherLogic,Higher Logic,231039,#N/A,
iCohere,iCohere,45989,13,LMS
iMIS-WebPart,iMIS,235599,12,AMS
Impexium,Impexium,225400,12,AMS
Internet4Associations,I4A,235642,12,AMS
KnowledgeDirectWeb,Knowledge Direct,235643,13,LMS
MatrixMaxx,MatrixMaxx,235644,12,AMS
mElimu,mElimu,235645,13,LMS
Member365,Member365,235646,12,AMS
Membercast,Membercast,235647,12,AMS
Memberclicks,Memberclicks ,235602,12,AMS
MemberConnection,MemberConnection,235649,12,AMS
MemberLeap,MemberLeap,235650,12,AMS
MemberMax,MemberMax,235651,12,AMS
MemberNova,MemberNova,235601,12,AMS
MemberPlanet,MemberPlanet,235653,12,AMS
MemberPlex,MemberPlex,,12,AMS
MembershipWorks,MembershipWorks,235654,12,AMS
MemberSuite,MemberSuite,235613,12,AMS
Memex,Memex,235655,12,AMS
Meridian LMS,Meridian LMS,235656,13,LMS
MeridianLMS,Meridian LMS,235656,13,LMS
Naylor,Naylor,235603,12,AMS
Naylor Association Solutions,Naylor,235603,12,AMS
NaylorNetwork,Naylor,235603,12,AMS
Neon CRM,Neon CRM,235604,12,AMS
NeonCRM,Neon CRM,235604,12,AMS
Netforum,Netforum,235658,12,AMS
NetFORUM Enterprise,NetFORUM Enterprise,235658,12,AMS
NetFORUM Pro,NetFORUM Pro,235659,12,AMS
NextThought,NextThought,235660,13,LMS
Nimble AMS,NimbleAMS,235605,12,AMS
NimbleAMS,NimbleAMS,235605,12,AMS
NOAH_Users,NOAH,235606,12,AMS
NOAHSignInUser,NOAH,235606,12,AMS
noviAMS,noviAMS,235607,12,AMS
Oasis LMS,Oasis LMS,235663,13,LMS
Personify,Personify360,235664,12,AMS
Personify360,Personify360,235664,12,AMS
PersonifyEBusiness,Personify360,235664,12,AMS
Powered by Tendenci,Tendenci,235668,12,AMS
Protech,Alliance,235590,12,AMS
Protech Associates,Alliance,235590,12,AMS
ProtechAssociates,Alliance,235590,12,AMS
Raklet,Raklet,235665,12,AMS
SilkStart,SilkStart,235666,12,AMS
StarChapter,StarChapter,235667,12,AMS
Tendenci.com,Tendenci,235668,12,AMS
The Associate,The Associate,235669,12,AMS
TidyHQ,TidyHQ,235670,12,AMS
Tovuti,Tovuti,235671,13,LMS
WBT Systems,WBT Systems,235672,13,LMS
WBTSystems,WBT Systems,235672,13,LMS
Weblink,Weblink,235673,12,AMS
Wicket,Wicket,235610,12,AMS
Wild Apricot,Wild Apricot,235611,12,AMS
WildApricot,Wild Apricot,235611,12,AMS
xCatalyst,xCatalyst,235674,12,AMS
Your People,Your People,235675,12,AMS
YourMembership,YourMembership,235612,12,AMS
YourPeople,Your People,235675,12,AMS
